time,open,high,low,close,tick_volume,spread,real_volume
2025-06-19 19:00:00,21711.250000,21734.500000,21709.500000,21734.000000,1686,100,0
2025-06-19 19:30:00,21734.000000,21741.000000,21691.000000,21702.750000,4724,100,0
2025-06-19 20:00:00,21702.500000,21702.500000,21702.500000,21702.500000,1,100,0
2025-06-20 01:00:00,21763.500000,21852.500000,21754.000000,21847.750000,4545,100,0
2025-06-20 01:30:00,21848.000000,21925.500000,21840.750000,21893.750000,4927,100,0
2025-06-20 02:00:00,21894.250000,21904.000000,21870.500000,21874.750000,3585,100,0
2025-06-20 02:30:00,21875.500000,21901.250000,21871.750000,21886.500000,2453,100,0
2025-06-20 03:00:00,21886.000000,21925.500000,21880.000000,21911.750000,4019,100,0
2025-06-20 03:30:00,21911.750000,21915.000000,21883.250000,21886.750000,3160,100,0
2025-06-20 04:00:00,21887.000000,21894.250000,21846.750000,21868.000000,3976,100,0
2025-06-20 04:30:00,21868.500000,21881.750000,21848.500000,21874.750000,3304,100,0
2025-06-20 05:00:00,21875.500000,21891.250000,21867.250000,21888.000000,2058,100,0
2025-06-20 05:30:00,21888.000000,21903.000000,21887.500000,21892.000000,1582,100,0
2025-06-20 06:00:00,21892.000000,21907.500000,21882.750000,21905.500000,1698,100,0
2025-06-20 06:30:00,21904.750000,21911.000000,21897.500000,21899.750000,1574,100,0
2025-06-20 07:00:00,21899.750000,21906.500000,21894.250000,21904.250000,1307,100,0
2025-06-20 07:30:00,21904.000000,21920.000000,21902.750000,21907.750000,1199,100,0
2025-06-20 08:00:00,21907.750000,21910.500000,21890.000000,21895.000000,1779,100,0
2025-06-20 08:30:00,21895.000000,21923.000000,21890.250000,21921.750000,1997,100,0
2025-06-20 09:00:00,21922.250000,21943.500000,21915.750000,21933.750000,2772,100,0
2025-06-20 09:30:00,21933.750000,21934.750000,21897.500000,21906.000000,2787,100,0
2025-06-20 10:00:00,21906.250000,21919.250000,21892.250000,21914.000000,3616,100,0
2025-06-20 10:30:00,21913.750000,21931.250000,21905.500000,21924.250000,2725,100,0
2025-06-20 11:00:00,21923.750000,21948.500000,21910.250000,21914.250000,3480,100,0
2025-06-20 11:30:00,21914.250000,21914.750000,21859.000000,21865.000000,3356,100,0
2025-06-20 12:00:00,21865.250000,21901.750000,21863.250000,21885.250000,2811,100,0
2025-06-20 12:30:00,21885.250000,21906.750000,21877.250000,21899.500000,2577,100,0
2025-06-20 13:00:00,21899.500000,21908.750000,21882.250000,21887.000000,2364,100,0
2025-06-20 13:30:00,21886.750000,21909.500000,21882.750000,21898.500000,2380,100,0
2025-06-20 14:00:00,21897.250000,21918.500000,21895.250000,21906.750000,2828,100,0
2025-06-20 14:30:00,21907.000000,22005.250000,21901.500000,21967.000000,5414,25,0
2025-06-20 15:00:00,21967.500000,21995.750000,21965.000000,21986.750000,4726,100,0
2025-06-20 15:30:00,21984.500000,22038.750000,21982.750000,22029.000000,5244,75,0
2025-06-20 16:00:00,22029.000000,22102.000000,22025.000000,22074.000000,5411,100,0
2025-06-20 16:30:00,22073.750000,22129.750000,22010.250000,22018.250000,14836,100,0
2025-06-20 17:00:00,22017.250000,22029.000000,21888.000000,21935.500000,13528,100,0
2025-06-20 17:30:00,21935.500000,21961.500000,21800.000000,21819.250000,14084,75,0
2025-06-20 18:00:00,21818.250000,21876.750000,21775.250000,21857.250000,11745,100,0
2025-06-20 18:30:00,21857.250000,21921.250000,21840.750000,21847.500000,9551,100,0
2025-06-20 19:00:00,21847.250000,21886.000000,21833.750000,21862.000000,9533,100,0
2025-06-20 19:30:00,21862.250000,21901.000000,21857.500000,21883.250000,7708,100,0
2025-06-20 20:00:00,21883.250000,21909.750000,21794.500000,21794.500000,8901,100,0
2025-06-20 20:30:00,21794.500000,21838.750000,21764.500000,21838.500000,9272,100,0
2025-06-20 21:00:00,21837.750000,21900.250000,21832.250000,21879.250000,7054,100,0
2025-06-20 21:30:00,21879.500000,21895.750000,21807.500000,21815.750000,7161,100,0
2025-06-20 22:00:00,21815.750000,21833.250000,21802.750000,21812.750000,8243,100,0
2025-06-20 22:30:00,21812.750000,21858.250000,21798.250000,21842.000000,9599,100,0
2025-06-20 23:00:00,21842.000000,21910.250000,21839.250000,21860.500000,5015,100,0
2025-06-20 23:30:00,21860.500000,21879.250000,21856.000000,21873.250000,1939,100,0
2025-06-23 01:00:00,21639.500000,21750.550000,21596.500000,21736.750000,11043,100,0
2025-06-23 01:30:00,21736.900000,21783.100000,21736.900000,21758.250000,7216,100,0
2025-06-23 02:00:00,21758.400000,21762.350000,21728.100000,21755.800000,5698,100,0
2025-06-23 02:30:00,21755.800000,21769.850000,21741.850000,21760.350000,4418,100,0
2025-06-23 03:00:00,21760.150000,21760.450000,21706.850000,21718.300000,7871,95,0
2025-06-23 03:30:00,21717.250000,21737.100000,21709.900000,21730.750000,4728,95,0
2025-06-23 04:00:00,21730.750000,21749.500000,21714.300000,21716.500000,5352,95,0
2025-06-23 04:30:00,21716.600000,21739.500000,21711.500000,21738.800000,3817,90,0
2025-06-23 05:00:00,21739.100000,21757.250000,21737.000000,21754.300000,3803,90,0
2025-06-23 05:30:00,21754.300000,21771.050000,21748.300000,21758.350000,3271,90,0
2025-06-23 06:00:00,21756.250000,21768.050000,21755.000000,21760.550000,2575,90,0
2025-06-23 06:30:00,21760.600000,21772.000000,21757.500000,21766.350000,2509,90,0
2025-06-23 07:00:00,21766.500000,21772.750000,21757.250000,21766.500000,2366,90,0
2025-06-23 07:30:00,21766.600000,21768.850000,21758.550000,21764.250000,1714,90,0
2025-06-23 08:00:00,21764.000000,21814.450000,21763.250000,21797.850000,4327,90,0
2025-06-23 08:30:00,21798.100000,21809.500000,21790.000000,21809.000000,3509,90,0
2025-06-23 09:00:00,21809.000000,21827.250000,21797.500000,21808.800000,4539,90,0
2025-06-23 09:30:00,21809.000000,21834.800000,21804.050000,21818.600000,3881,90,0
2025-06-23 10:00:00,21819.000000,21872.000000,21819.000000,21850.300000,7762,90,0
2025-06-23 10:30:00,21850.250000,21903.800000,21846.500000,21895.750000,6268,90,0
2025-06-23 11:00:00,21895.750000,21943.550000,21879.000000,21908.800000,7213,95,0
2025-06-23 11:30:00,21908.150000,21918.000000,21896.800000,21906.500000,4851,90,0
2025-06-23 12:00:00,21906.600000,21933.600000,21881.050000,21899.250000,6066,90,0
2025-06-23 12:30:00,21899.250000,21906.000000,21882.550000,21882.850000,3387,90,0
2025-06-23 13:00:00,21882.850000,21923.750000,21866.850000,21871.100000,6324,50,0
2025-06-23 13:30:00,21870.750000,21880.850000,21845.800000,21857.250000,4923,90,0
2025-06-23 14:00:00,21857.250000,21863.500000,21790.850000,21812.600000,6684,90,0
2025-06-23 14:30:00,21811.100000,21828.000000,21775.250000,21824.550000,7259,90,0
2025-06-23 15:00:00,21825.250000,21853.100000,21816.600000,21837.100000,6487,90,0
2025-06-23 15:30:00,21837.250000,21885.550000,21835.350000,21882.550000,5680,90,0
2025-06-23 16:00:00,21882.550000,21888.600000,21855.550000,21867.750000,8173,35,0
2025-06-23 16:30:00,21868.800000,21927.750000,21758.250000,21924.250000,17815,90,0
2025-06-23 17:00:00,21924.500000,22010.750000,21924.500000,21983.250000,16278,35,0
2025-06-23 17:30:00,21983.750000,22017.250000,21950.000000,21953.750000,14815,20,0
2025-06-23 18:00:00,21953.750000,22005.050000,21944.500000,21946.250000,12840,90,0
2025-06-23 18:30:00,21946.300000,21966.750000,21922.250000,21937.500000,13687,90,0
2025-06-23 19:00:00,21937.750000,21944.500000,21854.250000,21860.250000,13705,90,0
2025-06-23 19:30:00,21860.100000,21912.250000,21738.250000,21840.000000,18473,50,0
2025-06-23 20:00:00,21840.000000,22031.600000,21821.300000,22018.000000,17089,75,0
2025-06-23 20:30:00,22018.000000,22080.250000,22018.000000,22051.250000,14571,95,0
2025-06-23 21:00:00,22051.250000,22084.550000,22041.100000,22043.250000,11767,90,0
2025-06-23 21:30:00,22043.500000,22062.000000,22021.250000,22035.750000,10635,90,0
2025-06-23 22:00:00,22035.250000,22069.750000,22024.050000,22055.050000,10870,90,0
2025-06-23 22:30:00,22055.000000,22092.000000,22029.750000,22071.000000,11471,90,0
2025-06-23 23:00:00,22068.000000,22078.750000,22052.050000,22073.000000,5068,90,0
2025-06-23 23:30:00,22072.750000,22084.600000,22066.750000,22071.600000,2799,90,0
2025-06-24 00:00:00,22071.600000,22071.600000,22071.600000,22071.600000,1,110,0
2025-06-24 01:00:00,22070.250000,22216.000000,22065.900000,22196.750000,8467,75,0
