time,open,high,low,close,tick_volume,spread,real_volume
2025-07-16 00:00:00,3381.000000,3390.600000,3381.000000,3385.800000,52,640,0
2025-07-16 04:00:00,3387.400000,3399.300000,3385.800000,3399.300000,651,180,0
2025-07-16 08:00:00,3399.300000,3404.500000,3396.700000,3403.900000,354,180,0
2025-07-16 12:00:00,3403.300000,3404.500000,3392.500000,3395.500000,526,160,0
2025-07-16 16:00:00,3396.100000,3439.300000,3380.500000,3410.500000,1921,180,0
2025-07-16 20:00:00,3410.900000,3418.900000,3407.300000,3408.900000,640,120,0
2025-07-17 00:00:00,3405.000000,3408.200000,3393.800000,3393.800000,30,960,0
2025-07-17 04:00:00,3395.400000,3405.100000,3393.800000,3403.700000,497,160,0
2025-07-17 08:00:00,3403.700000,3403.900000,3384.700000,3388.900000,525,160,0
2025-07-17 12:00:00,3388.500000,3391.700000,3368.100000,3373.700000,937,180,0
2025-07-17 16:00:00,3373.700000,3400.500000,3370.100000,3398.500000,1813,120,0
2025-07-17 20:00:00,3398.900000,3401.700000,3394.500000,3397.900000,751,80,0
2025-07-18 00:00:00,3389.000000,3398.600000,3389.000000,3395.400000,23,480,0
2025-07-18 04:00:00,3397.000000,3405.300000,3394.500000,3397.300000,551,160,0
2025-07-18 08:00:00,3397.300000,3410.900000,3391.700000,3407.300000,635,120,0
2025-07-18 12:00:00,3407.700000,3422.500000,3407.700000,3420.500000,990,120,0
2025-07-18 16:00:00,3419.700000,3421.300000,3411.700000,3415.000000,1400,120,0
2025-07-18 20:00:00,3415.300000,3415.900000,3407.300000,3410.100000,746,80,0
2025-07-30 20:00:00,3352.860000,3358.360000,3319.530000,3327.440000,42696,35,0
2025-07-31 00:00:00,3327.870000,3338.570000,3326.940000,3336.950000,10540,40,0
2025-07-31 04:00:00,3336.850000,3348.340000,3335.340000,3347.870000,21734,36,0
2025-07-31 08:00:00,3347.860000,3366.630000,3344.350000,3362.060000,24188,36,0
2025-07-31 12:00:00,3362.040000,3365.430000,3345.860000,3360.360000,30144,40,0
2025-07-31 16:00:00,3360.430000,3362.840000,3342.070000,3347.860000,42419,34,0
2025-07-31 20:00:00,3347.830000,3351.370000,3342.370000,3342.730000,16106,36,0
2025-08-01 00:00:00,3342.560000,3346.260000,3337.630000,3340.840000,9482,36,0
2025-08-01 04:00:00,3340.730000,3347.420000,3331.550000,3343.140000,20671,36,0
2025-08-01 08:00:00,3343.140000,3351.860000,3336.040000,3345.060000,21536,36,0
2025-08-01 12:00:00,3345.160000,3398.560000,3343.870000,3394.160000,32812,36,0
2025-08-01 16:00:00,3394.060000,3408.720000,3392.270000,3399.750000,59676,19,0
2025-08-01 20:00:00,3399.750000,3416.930000,3397.860000,3416.130000,23839,36,0
2025-08-04 00:00:00,3418.960000,3418.960000,3402.870000,3404.750000,11803,36,0
2025-08-04 04:00:00,3404.630000,3413.850000,3397.930000,3410.760000,19367,36,0
2025-08-04 08:00:00,3410.760000,3415.270000,3404.370000,3411.540000,21867,40,0
2025-08-04 12:00:00,3411.540000,3424.530000,3405.800000,3420.640000,23176,36,0
2025-08-04 16:00:00,3420.660000,3439.350000,3419.840000,3424.570000,39169,36,0
2025-08-04 20:00:00,3424.640000,3431.840000,3424.330000,3428.160000,13212,36,0
2025-08-05 00:00:00,3430.440000,3434.630000,3427.960000,3433.470000,6644,36,0
2025-08-05 04:00:00,3433.470000,3435.830000,3424.770000,3424.950000,14360,36,0
2025-08-05 08:00:00,3424.940000,3429.760000,3419.460000,3420.550000,21387,36,0
2025-08-05 12:00:00,3420.540000,3420.860000,3403.340000,3420.060000,24733,36,0
2025-08-05 16:00:00,3420.130000,3444.740000,3419.740000,3436.550000,43007,35,0
2025-08-05 20:00:00,3436.570000,3437.260000,3432.150000,3435.240000,12699,36,0
2025-08-06 00:00:00,3434.970000,3440.250000,3432.140000,3438.050000,7114,40,0
2025-08-06 04:00:00,3438.030000,3438.250000,3426.570000,3426.840000,14766,40,0
2025-08-06 08:00:00,3426.770000,3433.540000,3418.850000,3419.150000,17667,36,0
2025-08-06 12:00:00,3419.160000,3424.050000,3411.930000,3422.150000,22878,36,0
2025-08-06 16:00:00,3422.160000,3438.150000,3419.660000,3435.570000,37812,36,0
2025-08-06 20:00:00,3435.570000,3438.150000,3429.800000,3431.950000,17237,36,0
2025-08-07 00:00:00,3433.930000,3444.740000,3431.570000,3440.930000,11979,36,0
2025-08-07 04:00:00,3440.930000,3447.170000,3437.660000,3444.960000,18786,36,0
2025-08-07 08:00:00,3445.020000,3470.070000,3438.630000,3452.260000,34732,36,0
2025-08-07 12:00:00,3452.250000,3465.040000,3443.430000,3454.550000,33599,36,0
2025-08-07 16:00:00,3454.570000,3462.860000,3436.050000,3453.750000,45843,36,0
2025-08-07 20:00:00,3453.750000,3480.660000,3450.670000,3480.530000,24351,36,0
