ts_iso,symbol,tf,side,confidence,ema_fast,ema_slow,rsi,placed,vol,reason
2025-11-10T19:54:54Z,US500Z25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:54:54Z,USOILZ25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:54:54Z,BTCX25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:54:59Z,XAUZ25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:54:59Z,US30Z25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:54:59Z,US100Z25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:54:59Z,US500Z25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:54:59Z,USOILZ25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:54:59Z,BTCX25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:04Z,XAUZ25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:04Z,US30Z25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:04Z,US100Z25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:04Z,US500Z25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:04Z,USOILZ25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:04Z,BTCX25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:09Z,XAUZ25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:09Z,US30Z25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:09Z,US100Z25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:09Z,US500Z25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:09Z,USOILZ25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:09Z,BTCX25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
2025-11-10T19:55:14Z,XAUZ25.sim,M1,FLAT,0.0,0,0,0,0,0,AI/EVAL
