symbol,tf,time,open,high,low,close,volume,ret_1,logret_1,atr14,rvol_20,rsi14,ma20,ma50,hour,dow,fwd_ret_1,up_1,fwd_ret_3,up_3,fwd_ret_6,up_6
CADJPY.sim,M30,2025-05-20 12:30:00+00:00,103.729,103.733,103.65,103.671,507,,,0.08299999999999841,,,,,12,1,4.822949522997888e-05,1,-0.0002507933751966229,0,0.0029805828052202887,1
CADJPY.sim,M30,2025-05-20 13:00:00+00:00,103.669,103.719,103.646,103.676,1675,4.822949522997888e-05,4.822833222473122e-05,0.08228571428571234,,,,,13,1,-0.00011574520621937534,0,-1.9290867703136705e-05,0,0.0030865388325165277,1
CADJPY.sim,M30,2025-05-20 13:30:00+00:00,103.675,103.699,103.61,103.664,1461,-0.00011574520621937534,-0.0001157519052128464,0.08276530612244708,,84.41558441557196,,,13,1,-0.0001832844574780612,0,-7.717240314863982e-05,0,0.0036174563975921448,1
CADJPY.sim,M30,2025-05-20 14:00:00+00:00,103.665,103.669,103.579,103.645,1606,-0.0001832844574780612,-0.00018330125612653347,0.08328206997084396,,66.69297553273,,,14,1,0.00027980124463322653,1,0.0032321867914517632,1,0.0014858410921898546,1
CADJPY.sim,M30,2025-05-20 14:30:00+00:00,103.645,103.735,103.64,103.674,1633,0.00027980124463322653,0.00027976210756541775,0.08411906497292646,,75.23809523808276,,,14,1,-0.00017362115863184258,0,0.0031058896155253812,1,-9.64561992400359e-06,0
CADJPY.sim,M30,2025-05-20 15:00:00+00:00,103.673,103.721,103.63,103.656,2432,-0.00017362115863184258,-0.0001736362325299723,0.08461056033200373,,64.22421585798547,,,15,1,0.003125723547117376,1,0.00369491394612953,1,-0.00011576753878217438,0
CADJPY.sim,M30,2025-05-20 15:30:00+00:00,103.649,104.013,103.641,103.98,2754,0.003125723547117376,0.0031208486290594806,0.10513837745114632,,90.6776985191338,,,15,1,0.00015387574533565207,1,-0.001740719369109467,0,-0.0018080400076938563,0
CADJPY.sim,M30,2025-05-20 16:00:00+00:00,103.982,104.051,103.945,103.996,2405,0.00015387574533565207,0.00015386390767790914,0.10519992191892222,,91.0304149588391,,,16,1,0.00041347744144015763,1,-0.0031058886880264147,0,-0.0018462248548020144,0
CADJPY.sim,M30,2025-05-20 16:30:00+00:00,103.996,104.089,103.956,104.039,3517,0.00041347744144015763,0.00041339198319878534,0.10718564178185602,,91.91569083222713,,,16,1,-0.002306827247474441,0,-0.0037966531781350454,0,-0.0007977777564182054,0
CADJPY.sim,M30,2025-05-20 17:00:00+00:00,104.034,104.037,103.779,103.799,4071,-0.002306827247474441,-0.002309492072432029,0.11810095308315238,,57.690887250926096,,,17,1,-0.0012138845268259146,0,-6.74380292681187e-05,0,0.0013872966020866961,1
CADJPY.sim,M30,2025-05-20 17:30:00+00:00,103.794,103.814,103.634,103.673,3464,-0.0012138845268259146,-0.0012146218814175214,0.12252231357721241,,47.65790120718935,,,17,1,-0.00027972567592327024,0,0.0012635883981364504,1,0.0023053253981268895,1
CADJPY.sim,M30,2025-05-20 18:00:00+00:00,103.673,103.726,103.613,103.644,2528,-0.00027972567592327024,-0.0002797648064474245,0.12184214832169721,,45.688465976489226,,,18,1,0.0014279649569679531,1,0.0030103045038787357,1,0.0010516768939832222,1
CADJPY.sim,M30,2025-05-20 18:30:00+00:00,103.646,103.81,103.638,103.792,2178,0.0014279649569679531,0.0014269463845506536,0.12542485201300435,,55.74064607317387,,,18,1,0.00011561584707875383,1,0.0014548327424077634,1,-0.00024086634808084817,0
CADJPY.sim,M30,2025-05-20 19:00:00+00:00,103.792,103.82,103.71,103.804,1827,0.00011561584707875383,0.00011560916408193123,0.12432307686921829,,56.44455242833482,,,19,1,0.0014642981002659372,1,0.0010404223343993824,1,-0.0004624099263997872,0
CADJPY.sim,M30,2025-05-20 19:30:00+00:00,103.805,103.985,103.804,103.956,1663,0.0014642981002659372,0.0014632270612215947,0.1283714285214168,,64.20929547966944,,,19,1,-0.00012505290699915683,0,-0.0019527492400631674,0,-0.0007599368963793207,0
