ts,symbol,tf,price,rsi14,ema50,p_up,signal,source
1763001713.4115715,XAUZ25.sim,H1,4195.48,73.98895687210796,4146.476301690327,,1,rule
1763001713.4115715,US30Z25.sim,H1,48428.5,68.35025646393775,47999.83757748377,0.3807300329208374,-1,xgb
1763001713.4115715,US100Z25.sim,H1,25665.56,45.39510405868757,25634.132735524447,0.44355538487434387,0,xgb
1763001713.4115715,US500Z25.sim,H1,6879.38,47.82710462666785,6863.056531162704,0.6439067125320435,1,xgb
1763001713.4115715,USOILZ25.sim,H1,58.418,16.465578424414275,59.67630030296561,0.4773574471473694,0,xgb
1763001713.4115715,BTCX25.sim,H1,102395.0,25.378787878787875,103577.59615775106,0.7986300587654114,1,xgb
1763001759.590556,US30Z25.sim,H1,48429.35,68.41112682696803,47999.8709108171,0.3807300329208374,-1,xgb
1763002212.3774664,XAUZ25.sim,H1,4194.54,73.47362181387032,4146.43943894523,,1,rule
1763002212.3774664,US30Z25.sim,H1,48441.9,69.25314714905286,48000.36306767985,0.3198947012424469,-1,xgb
1763002212.3774664,US100Z25.sim,H1,25668.31,45.56161715863474,25634.240578661702,0.44355538487434387,0,xgb
1763002212.3774664,US500Z25.sim,H1,6880.8,48.36291913215007,6863.112217437214,0.6147599816322327,1,xgb
1763002212.3774664,USOILZ25.sim,H1,58.385,15.475763016157728,59.67500618531855,0.5009610056877136,0,xgb
1763002212.3774664,BTCX25.sim,H1,102335.0,24.617346938775512,103575.24321657458,0.8277081847190857,1,xgb
1763003069.141521,XAUZ25.sim,H1,4198.18,73.03237303237282,4148.448826501537,,1,rule
1763003069.141521,US30Z25.sim,H1,48422.7,65.49078895794784,48016.48083336429,0.3027804493904114,-1,xgb
1763003069.141521,US100Z25.sim,H1,25642.99,39.721588696668015,25634.178855331033,0.47159650921821594,0,xgb
1763003069.141521,US500Z25.sim,H1,6876.53,41.967704344930986,6863.5585623708685,0.6172397136688232,1,xgb
