ts,ticket,symbol,side,volume,entry,close,realized_quote,realized_ccy,reason
2025-08-15 10:00:00+00:00,1,USOILZ25.sim,BUY,0.10,62.89000,62.53452,-0.04,-0.04,bt_sl
2025-08-15 11:00:00+00:00,2,USOILZ25.sim,BUY,0.10,62.59000,62.38248,-0.02,-0.02,bt_sl
2025-08-15 16:00:00+00:00,3,USOILZ25.sim,BUY,0.10,62.32000,62.09482,-0.02,-0.02,bt_sl
2025-08-18 01:00:00+00:00,4,USOILZ25.sim,SELL,0.10,62.38000,61.79597,0.06,0.06,bt_tp
2025-08-18 12:00:00+00:00,5,USOILZ25.sim,BUY,0.10,61.77500,62.45645,0.07,0.07,bt_tp
2025-08-18 16:00:00+00:00,6,USOILZ25.sim,BUY,0.10,62.09400,61.78122,-0.03,-0.03,bt_sl
2025-08-18 20:00:00+00:00,7,USOILZ25.sim,BUY,0.10,61.68300,62.40703,0.07,0.07,bt_tp
2025-08-19 13:00:00+00:00,8,USOILZ25.sim,SELL,0.10,62.63400,61.82835,0.08,0.08,bt_tp
2025-08-20 10:00:00+00:00,9,USOILZ25.sim,BUY,0.10,61.86400,62.35801,0.05,0.05,bt_tp
2025-08-20 18:00:00+00:00,10,USOILZ25.sim,BUY,0.10,62.20500,62.74279,0.05,0.05,bt_tp
2025-08-21 20:00:00+00:00,11,USOILZ25.sim,BUY,0.10,62.83300,63.57858,0.07,0.07,bt_tp
2025-08-22 14:00:00+00:00,12,USOILZ25.sim,SELL,0.10,63.49500,63.82354,-0.03,-0.03,bt_sl
2025-08-22 17:00:00+00:00,13,USOILZ25.sim,SELL,0.10,63.64300,63.88021,-0.02,-0.02,bt_sl
2025-08-25 11:00:00+00:00,14,USOILZ25.sim,SELL,0.10,63.69400,63.95322,-0.03,-0.03,bt_sl
2025-08-25 16:00:00+00:00,15,USOILZ25.sim,BUY,0.10,63.94300,64.34407,0.04,0.04,bt_tp
2025-08-25 19:00:00+00:00,16,USOILZ25.sim,BUY,0.10,64.50300,65.02452,0.05,0.05,bt_tp
2025-08-26 03:00:00+00:00,17,USOILZ25.sim,SELL,0.10,65.01400,64.49187,0.05,0.05,bt_tp
2025-08-26 11:00:00+00:00,18,USOILZ25.sim,SELL,0.10,64.42400,64.05378,0.04,0.04,bt_tp
2025-08-26 13:00:00+00:00,19,USOILZ25.sim,SELL,0.10,64.00400,63.61135,0.04,0.04,bt_tp
2025-08-26 17:00:00+00:00,20,USOILZ25.sim,BUY,0.10,63.58500,64.02504,0.04,0.04,bt_tp
2025-08-26 18:00:00+00:00,21,USOILZ25.sim,SELL,0.10,63.84300,63.36309,0.05,0.05,bt_tp
2025-08-27 16:00:00+00:00,22,USOILZ25.sim,SELL,0.10,63.43500,63.72176,-0.03,-0.03,bt_sl
2025-08-27 18:00:00+00:00,23,USOILZ25.sim,BUY,0.10,63.75400,63.46022,-0.03,-0.03,bt_sl
2025-08-27 21:00:00+00:00,24,USOILZ25.sim,SELL,0.10,63.87400,64.17121,-0.03,-0.03,bt_sl
2025-08-28 18:00:00+00:00,25,USOILZ25.sim,SELL,0.10,63.94400,63.36913,0.06,0.06,bt_tp
2025-08-28 20:00:00+00:00,26,USOILZ25.sim,BUY,0.10,63.62300,64.24649,0.06,0.06,bt_tp
2025-08-28 21:00:00+00:00,27,USOILZ25.sim,SELL,0.10,64.28400,64.65420,-0.04,-0.04,bt_sl
