symbol,tf,time,open,high,low,close,volume,ret_1,logret_1,atr14,rvol_20,rsi14,ma20,ma50,hour,dow,fwd_ret_1,up_1,fwd_ret_3,up_3,fwd_ret_6,up_6
XAUZ25.sim,H1,2025-07-16 01:00:00+00:00,3381.0,3385.8,3381.0,3385.8,8.0,,,,,,,,1.0,2.0,0.0009451237521411748,1,0.0018016421525193227,1,0.003987240829345984,1
XAUZ25.sim,H1,2025-07-16 02:00:00+00:00,3381.0,3390.6,3381.0,3389.0,21.0,0.0009451237521411748,0.0009446774039018202,,,,,,2.0,2.0,-0.0009442313366774258,0,-0.0005016228976099102,0,0.002803186780761191,1
XAUZ25.sim,H1,2025-07-16 03:00:00+00:00,3389.0,3389.0,3385.8,3385.8,23.0,-0.0009442313366774258,-0.000944677403901881,,,92.85714285714286,,,3.0,2.0,0.0018016421525193227,1,0.003042117077204809,1,0.00434166223639898,1
XAUZ25.sim,H1,2025-07-16 04:00:00+00:00,3387.4,3395.5,3385.8,3391.9,301.0,0.0018016421525193227,0.0018000211419916857,,,93.77058999700512,,,4.0,2.0,-0.0013561720569591484,0,0.002181668091630007,1,0.002122704089153604,1
XAUZ25.sim,H1,2025-07-16 05:00:00+00:00,3391.9,3392.1,3386.1,3387.3,204.0,-0.0013561720569591484,-0.0013570924905548514,,,84.94834602942689,,,5.0,2.0,0.00259793936173347,1,0.0033064682785699517,1,0.0049006583414519245,1
XAUZ25.sim,H1,2025-07-16 06:00:00+00:00,3387.3,3396.5,3386.9,3396.1,82.0,0.00259793936173347,0.0025945705506530297,,,87.39213400194436,,,6.0,2.0,0.0009422572951327535,1,0.0012956037808073972,1,0.001766732428373663,1
XAUZ25.sim,H1,2025-07-16 07:00:00+00:00,3394.9,3399.3,3394.1,3399.3,64.0,0.0009422572951327535,0.0009418136493913904,,,88.1458401637291,,,7.0,2.0,-0.00023534257052926222,0,-5.883564263242658e-05,0,-0.0004118494984262089,0
XAUZ25.sim,H1,2025-07-16 08:00:00+00:00,3399.3,3401.3,3396.9,3398.5,121.0,-0.00023534257052926222,-0.00023537026793768532,,,86.74962364189668,,,8.0,2.0,0.0005884949242311865,1,0.001588936295424448,1,0.0007061939090775571,1
XAUZ25.sim,H1,2025-07-16 09:00:00+00:00,3397.9,3403.3,3397.3,3400.5,83.0,0.0005884949242311865,0.0005883218290003774,,,87.29158345527894,,,9.0,2.0,-0.00041170416115277053,0,0.00047051904131745204,1,-0.0014703720041170376,0
XAUZ25.sim,H1,2025-07-16 10:00:00+00:00,3399.3,3400.9,3396.7,3399.1,74.0,-0.00041170416115277053,-0.00041178893457943924,,,84.6805918313099,,,10.0,2.0,0.001412138507252081,1,-0.0003530346268129092,0,-0.003530346268129758,0
XAUZ25.sim,H1,2025-07-16 11:00:00+00:00,3399.1,3404.5,3399.1,3403.9,76.0,0.001412138507252081,0.0014111423773422447,,,86.2042144993313,,,11.0,2.0,-0.0005288051940421923,0,-0.0008813419900701724,0,-0.0014101471841123647,0
XAUZ25.sim,H1,2025-07-16 12:00:00+00:00,3403.3,3404.5,3400.3,3402.1,123.0,-0.0005288051940421923,-0.0005289450608191742,,,82.87549261156465,,,12.0,2.0,-0.001234531612827272,0,-0.0019399782487287132,0,0.0009405955145351808,1
XAUZ25.sim,H1,2025-07-16 13:00:00+00:00,3401.5,3402.1,3397.9,3397.9,55.0,-0.001234531612827272,-0.001235294274730244,,,75.54526084154661,,,13.0,2.0,0.0008828982606903235,1,-0.0031784337384855865,0,0.0037081726948997584,1
XAUZ25.sim,H1,2025-07-16 14:00:00+00:00,3396.1,3402.9,3395.3,3400.9,130.0,0.0008828982606903235,0.0008825087352783035,6.007142857142851,,77.10310773321619,,,14.0,2.0,-0.0015878149901497052,0,-0.0005292716633832351,0,0.004410597194860255,1
XAUZ25.sim,H1,2025-07-16 15:00:00+00:00,3400.9,3402.1,3392.5,3395.5,218.0,-0.0015878149901497052,-0.00158907690433892,6.349999999999974,,68.62843352288914,,,15.0,2.0,-0.0024738624650272323,0,0.002886172875865123,1,0.005006626417316973,1
XAUZ25.sim,H1,2025-07-16 16:00:00+00:00,3396.1,3400.9,3383.5,3387.1,331.0,-0.0024738624650272323,-0.002476927518833038,6.907142857142844,,57.956907199469725,,,16.0,2.0,0.003542853768710774,1,0.006908564848985943,1,0.0064361843464910695,1
XAUZ25.sim,H1,2025-07-16 17:00:00+00:00,3387.1,3403.9,3380.5,3399.1,633.0,0.003542853768710774,0.0035365926461009695,8.350000000000007,,66.07311388705334,,,17.0,2.0,0.0018240122385337898,1,0.004942484775381839,1,0.0028831161189726284,1
XAUZ25.sim,H1,2025-07-16 18:00:00+00:00,3400.3,3439.3,3397.7,3405.3,699.0,0.0018240122385337898,0.0018223507482895201,10.628571428571474,,69.36381372746004,,,18.0,2.0,0.001527031392241529,1,0.002114351158488237,1,-8.809796493702837e-05,0
XAUZ25.sim,H1,2025-07-16 19:00:00+00:00,3404.9,3416.9,3400.5,3410.5,258.0,0.001527031392241529,0.001525866665370651,11.371428571428623,,71.83157514091295,,,19.0,2.0,0.0015833455505058769,1,-0.00046913942237203354,0,-0.0025509456091481475,0
XAUZ25.sim,H1,2025-07-16 20:00:00+00:00,3410.9,3418.9,3410.9,3415.9,276.0,0.0015833455505058769,0.0015820933805106659,11.28571428571435,,74.15937963861435,3397.575,,20.0,2.0,-0.0009953452969935217,0,-0.0020492403173395513,0,-0.006469744430457558,0
XAUZ25.sim,H1,2025-07-16 21:00:00+00:00,3416.5,3418.1,3410.9,3412.5,219.0,-0.0009953452969935217,-0.0009958409820694815,11.42857142857146,0.001570436614741741,70.2244057581403,3398.91,,21.0,2.0,-0.0010549450549450778,0,-0.00219780219780219,0,-0.0026959706959706065,0
XAUZ25.sim,H1,2025-07-16 22:00:00+00:00,3412.1,3412.5,3407.3,3408.9,78.0,-0.0010549450549450778,-0.0010555019011420973,11.485714285714298,0.0015969034997359288,66.21795510534803,3399.9049999999997,,22.0,2.0,0.0,0,-0.0020827833025315323,0,-0.002522807943911465,0
XAUZ25.sim,H1,2025-07-16 23:00:00+00:00,3408.9,3410.9,3407.3,3408.9,67.0,0.0,0.0,11.31428571428572,0.0015721556150624428,66.21795510534803,3401.06,,23.0,2.0,-0.0011440640675878244,0,-0.004429581389891135,0,-0.001994778374255657,0
XAUZ25.sim,H1,2025-07-17 01:00:00+00:00,3405.0,3408.2,3403.4,3405.0,13.0,-0.0011440640675878244,-0.0011447190084603967,11.407142857142844,0.0015661011334775436,61.78887546653206,3401.715,,1.0,3.0,-0.0009397944199706076,0,-0.0004992657856093263,0,-0.0003817914831131253,0
XAUZ25.sim,H1,2025-07-17 02:00:00+00:00,3405.0,3405.0,3400.2,3401.8,7.0,-0.0009397944199706076,-0.0009402363036213974,11.364285714285709,0.0015470473163354966,58.34077453755581,3402.44,,2.0,3.0,-0.002351696160856065,0,-0.00044094303016051217,0,-0.0009700746663531268,0
XAUZ25.sim,H1,2025-07-17 03:00:00+00:00,3401.8,3401.8,3393.8,3393.8,10.0,-0.002351696160856065,-0.002354465741265654,11.635714285714291,0.0015419541159143592,50.72038897166244,3402.325,,3.0,3.0,0.002799222110908106,1,0.0024456361600564414,1,0.0003241204549473409,1
XAUZ25.sim,H1,2025-07-17 04:00:00+00:00,3395.4,3403.9,3393.8,3403.3,136.0,0.002799222110908106,0.0027953115846163466,12.05714285714287,0.0016552210663066354,57.77388161615766,3402.525,,4.0,3.0,-0.000881497370199491,0,0.00011753298269323587,1,-0.005171451238503932,0
XAUZ25.sim,H1,2025-07-17 05:00:00+00:00,3403.3,3405.1,3397.3,3400.3,68.0,-0.000881497370199491,-0.0008818861174762498,12.071428571428571,0.0016675357683936939,55.09218716354104,3402.6150000000002,,5.0,3.0,0.0005293650560243002,1,-0.0005293650560245222,0,-0.003352645354821715,0
XAUZ25.sim,H1,2025-07-17 06:00:00+00:00,3401.5,3403.3,3396.7,3402.1,139.0,0.0005293650560243002,0.0005292249917709313,11.85714285714289,0.0016665398497071652,56.3998671958291,3402.6949999999997,,6.0,3.0,0.00047029775726747935,1,-0.00211633990770399,0,-0.004938126451309421,0
XAUZ25.sim,H1,2025-07-17 07:00:00+00:00,3402.1,3404.9,3399.3,3403.7,154.0,0.00047029775726747935,0.0004701872019384913,11.014285714285734,0.0016660837981832177,57.58225337027475,3402.925,,7.0,3.0,-0.0015277492140904902,0,-0.005288362664159552,0,-0.005288362664159552,0
XAUZ25.sim,H1,2025-07-17 08:00:00+00:00,3403.7,3403.9,3397.3,3398.5,169.0,-0.0015277492140904902,-0.001528917412882526,9.81428571428572,0.0016709994870853144,52.5905655549613,3402.655,,8.0,3.0,-0.0010592908636162246,0,-0.0028247756363101173,0,-0.0042371634544652315,0
XAUZ25.sim,H1,2025-07-17 09:00:00+00:00,3397.9,3397.9,3388.9,3394.9,132.0,-0.0010592908636162246,-0.001059852308707218,7.528571428571403,0.0016826931188715422,49.397916153999255,3402.2949999999996,,9.0,3.0,-0.002709947273851987,0,-0.0028277710683671797,0,-0.0062446611093111,0
XAUZ25.sim,H1,2025-07-17 10:00:00+00:00,3393.7,3394.3,3384.7,3385.7,74.0,-0.002709947273851987,-0.002713625828260829,7.085714285714273,0.001765353844900789,42.32622989555649,3401.6850000000004,,10.0,3.0,0.0009451516673066873,1,0.0,0,-0.0023628791682664962,0
