symbol,tf,time,open,high,low,close,volume,ret_1,logret_1,atr14,rvol_20,rsi14,ma20,ma50,hour,dow,fwd_ret_1,up_1,fwd_ret_3,up_3,fwd_ret_6,up_6
US100Z25.sim,H1,2025-06-19 19:00:00+00:00,21711.25,21741.0,21691.0,21702.75,6410,,,50.0,,,,,19,3,-1.1519277510863013e-05,0,0.008466668970522173,1,0.00872009307576227,1
US100Z25.sim,H1,2025-06-19 20:00:00+00:00,21702.5,21702.5,21702.5,21702.5,1,-1.1519277510863013e-05,-1.1519343859234255e-05,46.44642857142858,,0.0,,,20,3,0.008812348807740955,1,0.008489805321967525,1,0.009088814652689736,1
US100Z25.sim,H1,2025-06-20 01:00:00+00:00,21763.5,21925.5,21754.0,21893.75,9472,0.008812348807740955,0.008773746679834105,59.057397959183675,,98.32904884318766,,,1,4,-0.00033114473308593073,0,-0.0008678275763631671,0,0.0006394518983727782,1
US100Z25.sim,H1,2025-06-20 02:00:00+00:00,21894.25,21904.0,21870.5,21886.5,6038,-0.00033114473308593073,-0.0003311995736101636,57.2318695335277,,94.5342205323194,,,2,4,1.1422566422281122e-05,1,0.0002512964612888524,1,0.0016105818655336446,1
US100Z25.sim,H1,2025-06-20 03:00:00+00:00,21886.0,21925.5,21880.0,21886.75,7179,1.1422566422281122e-05,1.1422501184910061e-05,56.393878852561436,,94.54204269984521,,,3,4,-0.0005482769255371611,0,0.0005939666693319801,1,0.0008795275680490988,1
US100Z25.sim,H1,2025-06-20 04:00:00+00:00,21887.0,21894.25,21846.75,21874.75,7280,-0.0005482769255371611,-0.0005484272842917193,55.7586017916642,,88.02979907328961,,,4,4,0.0007885804409193398,1,0.0015085886695846984,1,0.0022628830043771586,1
US100Z25.sim,H1,2025-06-20 05:00:00+00:00,21875.5,21903.0,21867.25,21892.0,3640,0.0007885804409193398,0.000788269674728781,54.329415949402474,,89.18324007496732,,,5,4,0.00035401059747863783,1,0.001358943906449861,1,-0.0012333272428284303,0
US100Z25.sim,H1,2025-06-20 06:00:00+00:00,21892.0,21911.0,21882.75,21899.75,3272,0.00035401059747863783,0.00035394795051146843,52.46660052444516,,89.66507530193248,,,6,4,0.0003653009737554225,1,0.0002853913857463475,1,-1.1415655429836136e-05,0
US100Z25.sim,H1,2025-06-20 07:00:00+00:00,21899.75,21920.0,21894.25,21907.75,2506,0.0003653009737554225,0.0003652342675994902,50.558271915556226,,90.15270620473807,,,7,4,0.0006390432609464369,1,0.0007531581289725864,1,-0.00042222501169675297,0
US100Z25.sim,H1,2025-06-20 08:00:00+00:00,21907.75,21923.0,21890.0,21921.75,3776,0.0006390432609464369,0.0006388391597500487,49.30410963587364,,90.95683751103671,,,8,4,-0.0007184645386431043,0,-0.0025887531789204887,0,0.0020641600237207847,1
US100Z25.sim,H1,2025-06-20 09:00:00+00:00,21922.25,21943.5,21897.5,21906.0,5559,-0.0007184645386431043,-0.0007187227579770195,49.068101804739804,,82.7682146731974,,,9,4,0.000833105085364716,1,-0.00029672235917099776,0,0.005614900027389735,1
US100Z25.sim,H1,2025-06-20 10:00:00+00:00,21906.25,21931.25,21892.25,21924.25,6341,0.000833105085364716,0.0008327582459450866,48.34895167582982,,84.50855592292693,,,10,4,-0.0027024869721883338,0,-0.0011744985575333766,0,0.004287489879927442,1
US100Z25.sim,H1,2025-06-20 11:00:00+00:00,21923.75,21948.5,21859.0,21865.0,6836,-0.0027024869721883338,-0.002706145282616035,51.2883122704134,,62.45489134911762,,,11,4,0.001577864166476095,1,0.004664989709581624,1,-0.0020923850903270536,0
US100Z25.sim,H1,2025-06-20 12:00:00+00:00,21865.25,21906.75,21863.25,21899.5,5388,0.001577864166476095,0.0015766206467109356,50.732004251098154,,67.73483615756996,,,12,4,-4.5663142994145645e-05,0,0.005913377017740196,1,-0.0023744834356949074,0
US100Z25.sim,H1,2025-06-20 13:00:00+00:00,21899.5,21909.5,21882.25,21898.5,4744,-4.5663142994145645e-05,-4.5664185588378814e-05,49.05471823316257,,67.43879546579385,,,13,4,0.003128068132520534,1,0.005468411078384472,1,-0.0006963947302326412,0
US100Z25.sim,H1,2025-06-20 14:00:00+00:00,21897.25,22005.25,21895.25,21967.0,8242,0.003128068132520534,0.003123185906041215,53.407952645079526,,75.37745975110073,,,14,4,0.002822415441343873,1,-0.006725998088041196,0,-0.005849683616333645,0
US100Z25.sim,H1,2025-06-20 15:00:00+00:00,21967.5,22038.75,21965.0,22029.0,9970,0.002822415441343873,0.0028184399055355414,54.86095602757385,,80.10536488604991,,,15,4,-0.00048799310000458007,0,-0.00823913931635567,0,-0.009680421262880712,0
